0,1
data_processed/lines/images/1000200537.png,We have to get over there.
data_processed/lines/images/1000001508.png,(ROARS)
data_processed/lines/images/1000000594.png,It makes no sense.
data_processed/lines/images/1000000793.png,"constructive criticism,"
data_processed/lines/images/1000200107.png,"and, uh, killed his dog."
data_processed/lines/images/1000200272.png,It's personal.
data_processed/lines/images/1000301498.png,land speed record for talking.
data_processed/lines/images/1000302287.png,-Why?
data_processed/lines/images/1000000784.png,And then he died!
data_processed/lines/images/1000101215.png,Behind you!
data_processed/lines/images/1000300249.png,"Oh, shit."
data_processed/lines/images/1000101189.png,to call me
data_processed/lines/images/1000400860.png,[GROANS]
data_processed/lines/images/1000101399.png,Works better without the safety on.
data_processed/lines/images/1000200092.png,and pull a gun on me.
data_processed/lines/images/1000200494.png,You pulled the contract.
data_processed/lines/images/1000300148.png,[Billy exclaims]
data_processed/lines/images/1000000675.png,-I like it. I like Buckaroo Banzai.
data_processed/lines/images/1000100541.png,Geez.
data_processed/lines/images/1000301749.png,I know you do.
data_processed/lines/images/1000000254.png,"Oh, 'cause you're Parzival,"
data_processed/lines/images/1000000838.png,"weapons, magic items, ships."
data_processed/lines/images/1000300863.png,Say it. Why not?
data_processed/lines/images/1000300953.png,"All right. Thanks, guys."
data_processed/lines/images/1000400582.png,Definitely.
data_processed/lines/images/1000400171.png,Martha Mertz?
data_processed/lines/images/1000000060.png,Aech located.
data_processed/lines/images/1000400117.png,these players are.
data_processed/lines/images/1000400900.png,I'm gonna kill that dolphin.
data_processed/lines/images/1000301973.png,as a sign of trust I would tell you that.
data_processed/lines/images/1000000746.png,You're not just anyone.
data_processed/lines/images/1000000475.png,Is there a reason we're meeting here?
data_processed/lines/images/1000302279.png,I assume 85% of it is exaggeration.
data_processed/lines/images/1000301160.png,"New York and California,"
data_processed/lines/images/1000301619.png,"expose its SSL encryption,"
data_processed/lines/images/1000400849.png,Let's face it...
data_processed/lines/images/1000400370.png,Stuff probably looks better on the way out.
data_processed/lines/images/1000301208.png,Exactly like Napster.
data_processed/lines/images/1000100293.png,They didn't ask me if I liked to hunt.
data_processed/lines/images/1000300620.png,re: Harvard Connection.
data_processed/lines/images/1000200439.png,Give me your son.
data_processed/lines/images/1000001161.png,"MAN: Freeze, freeze, freeze!"
data_processed/lines/images/1000200301.png,Come on!
data_processed/lines/images/1000400625.png,Are you expecting Ray anytime soon?
data_processed/lines/images/1000100040.png,"Yeah, Freddy Krueger."
data_processed/lines/images/1000100511.png,"Oh, come on!"
data_processed/lines/images/1000200429.png,and unleashed you upon me.
data_processed/lines/images/1000001518.png,(ROARS)
data_processed/lines/images/1000300311.png,I think we'd have to jump out and drown.
data_processed/lines/images/1000400396.png,Whoo!
data_processed/lines/images/1000100286.png,and walk in twos and threes...
data_processed/lines/images/1000101042.png,And I know it doesn't make sense.
data_processed/lines/images/1000000815.png,inside the OASIS.
data_processed/lines/images/1000101368.png,"I guess I got a little too zealous, huh?"
data_processed/lines/images/1000000658.png,"She could be a dude, too, dude."
data_processed/lines/images/1000300820.png,I'm sure you're right.
data_processed/lines/images/1000400975.png,Fiction can be fun.
data_processed/lines/images/1000400375.png,Ace Ventura's here.
data_processed/lines/images/1000301890.png,"the passenger loading zone at SFO,"
data_processed/lines/images/1000301462.png,Well...
data_processed/lines/images/1000400794.png,As long as I've known him.
data_processed/lines/images/1000400065.png,"Gee, let me think."
data_processed/lines/images/1000200074.png,It was.
data_processed/lines/images/1000301363.png,Almost a gag reflex.
data_processed/lines/images/1000100655.png,It's just... somebody was there...
data_processed/lines/images/1000000639.png,Punk?
data_processed/lines/images/1000200369.png,"- Hey, Harry."
data_processed/lines/images/1000301762.png,Tell you what. Gesture of good faith.
data_processed/lines/images/1000100196.png,and I'm staying at--
data_processed/lines/images/1000101229.png,Kenny!
data_processed/lines/images/1000400938.png,"I'll never tell anyone, I swear."
data_processed/lines/images/1000100704.png,And why would she do that?
data_processed/lines/images/1000000366.png,and happy gunting!
data_processed/lines/images/1000200294.png,Did you see the tits on that girl?
data_processed/lines/images/1000300111.png,dating a StairMaster.
data_processed/lines/images/1000000655.png,-Yeah!
data_processed/lines/images/1000200476.png,A parting gift. From the management.
data_processed/lines/images/1000400276.png,Your attention to detail.
data_processed/lines/images/1000301876.png,You know how much I've read about you?
data_processed/lines/images/1000400641.png,...Ray wouldn't have missed the kick.
data_processed/lines/images/1000000237.png,"AECH: Hey. Z, yo."
data_processed/lines/images/1000301328.png,of right and wrong.
data_processed/lines/images/1000301399.png,-Tori.
data_processed/lines/images/1000302307.png,-And blogging.
data_processed/lines/images/1000001108.png,So you found my Jade Key.
data_processed/lines/images/1000400547.png,"I, uh, understand them."
data_processed/lines/images/1000301279.png,misappropriation or...
data_processed/lines/images/1000301803.png,for losing a race like that.
data_processed/lines/images/1000100028.png,"Oh, just some scary movie."
data_processed/lines/images/1000001558.png,and meet us at River South.
data_processed/lines/images/1000400343.png,"or should I call him ""Lawyer""?"
data_processed/lines/images/1000301226.png,You passed.
data_processed/lines/images/1000302276.png,I can't.
data_processed/lines/images/1000001348.png,"like, a forest."
data_processed/lines/images/1000100022.png,I don't think so.
data_processed/lines/images/1000400859.png,Einhorn is a man.
data_processed/lines/images/1000300095.png,-What is it supposed to mean?
data_processed/lines/images/1000100212.png,we started off hot and heavy.
data_processed/lines/images/1000001195.png,"""the fortress tragic."""
data_processed/lines/images/1000301110.png,in the BU newspaper?
data_processed/lines/images/1000200297.png,- No?
data_processed/lines/images/1000300130.png,[playing violin]
data_processed/lines/images/1000300790.png,We need 20 minutes!
data_processed/lines/images/1000000058.png,Locate Aech.
data_processed/lines/images/1000100079.png,I'm calling the police.
data_processed/lines/images/1000001416.png,in the gold mines of Gygax.
data_processed/lines/images/1000101370.png,Give me the knife!
data_processed/lines/images/1000000845.png,Four million a year.
data_processed/lines/images/1000301424.png,-I'm glad we've got that on the record.
data_processed/lines/images/1000301139.png,but they have Facebook.
data_processed/lines/images/1000000854.png,if you're not a John Hughes fan...
data_processed/lines/images/1000100602.png,was last year's hottest court case.
data_processed/lines/images/1000301329.png,the two of you being here is wrong.
data_processed/lines/images/1000400087.png,scratching around.
data_processed/lines/images/1000302232.png,That's not mine.
data_processed/lines/images/1000400307.png,I wanna trace the sale of equipment...
data_processed/lines/images/1000001548.png,why haven't they won yet?
data_processed/lines/images/1000301020.png,"to successfully launch the website."""
data_processed/lines/images/1000301338.png,"Thank you very much for your time, sir."
data_processed/lines/images/1000100663.png,Understand what?
data_processed/lines/images/1000101291.png,"that game, remember?"
data_processed/lines/images/1000302097.png,a business meeting.
data_processed/lines/images/1000000748.png,We've never met.
data_processed/lines/images/1000301340.png,Broke your 335-year-old doorknob.
data_processed/lines/images/1000300163.png,Let the hacking begin.
data_processed/lines/images/1000200352.png,No! Aah!
data_processed/lines/images/1000100502.png,"-Come on, come on."
data_processed/lines/images/1000001257.png,Ah...
data_processed/lines/images/1000100238.png,What's that?
data_processed/lines/images/1000001265.png,WADE: Where is she?
data_processed/lines/images/1000000502.png,Done.
data_processed/lines/images/1000101136.png,What are we waiting for?
data_processed/lines/images/1000100373.png,You know I don't watch that shit.
data_processed/lines/images/1000001152.png,Target identified!
data_processed/lines/images/1000400455.png,"You like her, huh?"
data_processed/lines/images/1000100146.png,You tricked me.
data_processed/lines/images/1000001616.png,(GROANS)
data_processed/lines/images/1000200228.png,So when did the old place get a face lift?
data_processed/lines/images/1000200219.png,Consider it done.
data_processed/lines/images/1000100786.png,"Come on, Sid."
data_processed/lines/images/1000100151.png,"Answer the question, and I will."
data_processed/lines/images/1000000121.png,He died.
data_processed/lines/images/1000000532.png,(GRUNTING)
data_processed/lines/images/1000001209.png,I got a better plan.
data_processed/lines/images/1000000917.png,Dial Alice.
data_processed/lines/images/1000400813.png,The schedule says...
data_processed/lines/images/1000400484.png,"- E, forget it. She's right."
data_processed/lines/images/1000001115.png,(PEOPLE SCREAMING)
data_processed/lines/images/1000001598.png,"never set foot in the OASIS again,"
data_processed/lines/images/1000301233.png,-Yeah?
data_processed/lines/images/1000001536.png,She never left. She's still here.
data_processed/lines/images/1000001603.png,"You know that kills all of us, right?"
data_processed/lines/images/1000000728.png,with the microfiber crotch inlay.
data_processed/lines/images/1000100998.png,Billy. What are you doing here?
data_processed/lines/images/1000400578.png,Ray Finkle wasn't added till mid-season.
data_processed/lines/images/1000300116.png,I don't have to study?
data_processed/lines/images/1000100006.png,What number are you trying to reach?
data_processed/lines/images/1000001380.png,(CHANTING IN OTHER LANGUAGE)
data_processed/lines/images/1000300516.png,I go to my first punch party tomorrow.
data_processed/lines/images/1000200444.png,"- When Helen died, I lost everything."
data_processed/lines/images/1000400850.png,...your master is a loser.
data_processed/lines/images/1000200076.png,Iosef Tarasov nicked it.
